Time, Altitude (ft), Airspeed (Kts), Latitude, Longitude, Weight of fuel (lbs), Weight of total fuel (kgs), Total weight (kgs), 
94.632812, 18549.019531, 181.967316, 39.615837, -8.524224, 24169.677734, 5494.368164, 63831.875000, 
95.164062, 18536.207031, 181.872284, 39.615074, -8.524742, 24169.677734, 5494.284180, 63831.636719, 
95.695312, 18523.455078, 181.777725, 39.614311, -8.525259, 24169.677734, 5494.202148, 63831.707031, 
96.210938, 18510.876953, 181.684677, 39.613564, -8.525768, 24169.677734, 5494.120117, 63831.468750, 
96.734375, 18498.177734, 181.591095, 39.612804, -8.526282, 24169.677734, 5494.037598, 63831.542969, 
97.257812, 18484.335938, 181.489334, 39.611980, -8.526842, 24169.677734, 5493.948730, 63831.457031, 
97.828125, 18471.679688, 181.396378, 39.611229, -8.527354, 24169.677734, 5493.866699, 63831.371094, 
98.351562, 18459.037109, 181.303619, 39.610474, -8.527866, 24169.677734, 5493.784668, 63831.292969, 
98.875000, 18446.277344, 181.210327, 39.609718, -8.528382, 24169.677734, 5493.702148, 63831.210938, 
99.406250, 18433.619141, 181.117889, 39.608967, -8.528893, 24169.677734, 5493.618164, 63831.125000, 
99.921875, 18420.931641, 181.025406, 39.608212, -8.529407, 24169.677734, 5493.535156, 63831.042969, 
100.445312, 18408.251953, 180.933167, 39.607460, -8.529919, 24169.677734, 5493.451172, 63830.960938, 
100.976562, 18395.548828, 180.840561, 39.606705, -8.530432, 24169.677734, 5493.368164, 63830.875000, 
101.500000, 18382.802734, 180.747726, 39.605949, -8.530947, 24169.677734, 5493.284668, 63830.792969, 
102.023438, 18370.103516, 180.655228, 39.605198, -8.531460, 24169.677734, 5493.201172, 63830.710938, 
102.554688, 18357.414062, 180.562576, 39.604443, -8.531973, 24169.677734, 5493.120117, 63830.628906, 
103.078125, 18344.746094, 180.469986, 39.603691, -8.532485, 24169.677734, 5493.036133, 63830.535156, 
103.648438, 18330.910156, 180.368637, 39.602871, -8.533044, 24169.677734, 5492.945312, 63830.453125, 
104.171875, 18318.322266, 180.276306, 39.602123, -8.533554, 24169.677734, 5492.863281, 63830.371094, 
104.695312, 18305.666016, 180.183365, 39.601368, -8.534066, 24169.677734, 5492.779297, 63830.289062, 
105.218750, 18293.136719, 180.091232, 39.600624, -8.534574, 24169.677734, 5492.696289, 63830.203125, 
105.742188, 18280.474609, 179.998123, 39.599873, -8.535087, 24169.677734, 5492.612793, 63830.121094, 
106.273438, 18267.871094, 179.905273, 39.599121, -8.535598, 24169.677734, 5492.531250, 63830.039062, 
106.796875, 18255.277344, 179.812439, 39.598370, -8.536108, 24169.677734, 5492.447266, 63829.953125, 
107.320312, 18242.656250, 179.719482, 39.597618, -8.536620, 24169.677734, 5492.364746, 63829.875000, 
107.843750, 18230.148438, 179.627502, 39.596870, -8.537127, 24169.677734, 5492.282227, 63829.789062, 
108.367188, 18217.609375, 179.535110, 39.596123, -8.537637, 24169.677734, 5492.199707, 63829.707031, 
108.898438, 18205.003906, 179.442276, 39.595371, -8.538147, 24169.677734, 5492.116211, 63829.625000, 
109.421875, 18192.513672, 179.350266, 39.594627, -8.538653, 24169.677734, 5492.032227, 63829.378906, 
109.945312, 18179.941406, 179.257614, 39.593880, -8.539164, 24169.677734, 5491.950195, 63829.457031, 
110.476562, 18167.337891, 179.164780, 39.593124, -8.539675, 24169.677734, 5491.866211, 63829.375000, 
111.000000, 18154.839844, 179.072815, 39.592381, -8.540181, 24169.677734, 5491.782715, 63829.289062, 
111.523438, 18142.292969, 178.980515, 39.591633, -8.540689, 24169.677734, 5491.699707, 63829.207031, 
112.046875, 18129.792969, 178.888687, 39.590885, -8.541196, 24169.677734, 5491.617188, 63829.125000, 
112.570312, 18117.302734, 178.796860, 39.590141, -8.541702, 24169.677734, 5491.533691, 63829.042969, 
113.093750, 18104.847656, 178.705353, 39.589397, -8.542207, 24169.677734, 5491.451172, 63828.957031, 
113.625000, 18092.289062, 178.613113, 39.588646, -8.542715, 24169.677734, 5491.367188, 63828.875000, 
114.148438, 18079.843750, 178.521454, 39.587902, -8.543219, 24169.677734, 5491.282715, 63828.789062, 
114.679688, 18067.296875, 178.429031, 39.587154, -8.543726, 24169.677734, 5491.200195, 63828.707031, 
115.203125, 18054.736328, 178.336548, 39.586403, -8.544234, 24169.677734, 5491.115723, 63828.625000, 
115.726562, 18042.355469, 178.245361, 39.585667, -8.544735, 24169.677734, 5491.034180, 63828.535156, 
116.304688, 18028.722656, 178.144928, 39.584850, -8.545287, 24169.677734, 5490.943359, 63828.449219, 
116.828125, 18016.248047, 178.052948, 39.584103, -8.545792, 24169.677734, 5490.859863, 63828.367188, 
117.351562, 18003.818359, 177.961197, 39.583359, -8.546295, 24169.677734, 5490.777832, 63828.285156, 
117.875000, 17991.427734, 177.869705, 39.582619, -8.546797, 24169.677734, 5490.695312, 63828.203125, 
118.406250, 17979.027344, 177.778137, 39.581875, -8.547298, 24169.677734, 5490.611816, 63828.117188, 
118.929688, 17966.625000, 177.686600, 39.581135, -8.547800, 24169.677734, 5490.529297, 63828.027344, 
119.500000, 17953.125000, 177.586945, 39.580326, -8.548347, 24169.677734, 5490.438477, 63827.945312, 
120.023438, 17940.785156, 177.495850, 39.579586, -8.548846, 24169.677734, 5490.355957, 63827.863281, 
120.546875, 17928.476562, 177.405045, 39.578850, -8.549344, 24169.677734, 5490.273438, 63827.773438, 
121.117188, 17914.919922, 177.305008, 39.578037, -8.549891, 24169.677734, 5490.183105, 63827.695312, 
121.648438, 17902.613281, 177.214096, 39.577297, -8.550389, 24169.677734, 5490.100098, 63827.609375, 
122.171875, 17890.310547, 177.123184, 39.576561, -8.550887, 24169.677734, 5490.016602, 63827.523438, 
122.695312, 17877.923828, 177.031708, 39.575817, -8.551387, 24169.677734, 5489.933105, 63827.441406, 
123.218750, 17865.572266, 176.940506, 39.575077, -8.551887, 24169.677734, 5489.849609, 63827.355469, 
123.750000, 17853.208984, 176.849304, 39.574337, -8.552386, 24169.677734, 5489.766602, 63827.273438, 
124.273438, 17840.865234, 176.758163, 39.573593, -8.552884, 24169.677734, 5489.682617, 63827.191406, 
124.796875, 17828.568359, 176.667435, 39.572857, -8.553381, 24169.677734, 5489.600586, 63827.109375, 
125.328125, 17816.177734, 176.576035, 39.572113, -8.553882, 24169.677734, 5489.515625, 63827.023438, 
125.851562, 17803.861328, 176.485062, 39.571373, -8.554379, 24169.677734, 5489.433594, 63826.941406, 
126.382812, 17791.527344, 176.393845, 39.570633, -8.554876, 24169.677734, 5489.350098, 63826.859375, 
126.906250, 17779.259766, 176.302994, 39.569897, -8.555371, 24169.677734, 5489.268066, 63826.773438, 
127.429688, 17766.964844, 176.212006, 39.569157, -8.555868, 24169.677734, 5489.184570, 63826.691406, 
127.960938, 17754.660156, 176.120956, 39.568417, -8.556364, 24169.677734, 5489.101074, 63826.609375, 
128.484375, 17742.318359, 176.029633, 39.567677, -8.556863, 24169.677734, 5489.016602, 63826.527344, 
129.007812, 17730.158203, 175.939606, 39.566944, -8.557353, 24169.677734, 5488.934082, 63826.441406, 
129.531250, 17717.960938, 175.849304, 39.566212, -8.557890, 24169.677734, 5488.843750, 63826.195312, 
130.109375, 17704.576172, 175.750061, 39.565407, -8.558386, 24169.677734, 5488.759766, 63826.269531, 
130.679688, 17691.302734, 175.651672, 39.564606, -8.558921, 24169.677734, 5488.669434, 63826.175781, 
131.203125, 17679.228516, 175.562195, 39.563881, -8.559408, 24169.677734, 5488.586426, 63826.089844, 
131.726562, 17667.062500, 175.472031, 39.563145, -8.559899, 24169.677734, 5488.503906, 63826.011719, 
132.250000, 17654.833984, 175.381592, 39.562408, -8.560392, 24169.677734, 5488.420898, 63825.925781, 
132.773438, 17642.619141, 175.291580, 39.561672, -8.560884, 24169.677734, 5488.337402, 63825.847656, 
133.296875, 17630.447266, 175.202133, 39.560940, -8.561376, 24169.677734, 5488.253906, 63825.761719, 
133.828125, 17618.246094, 175.112839, 39.560207, -8.561866, 24169.677734, 5488.169434, 63825.675781, 
134.351562, 17606.117188, 175.024384, 39.559479, -8.562354, 24169.677734, 5488.086914, 63825.593750, 
134.875000, 17593.914062, 174.935669, 39.558746, -8.562844, 24169.677734, 5488.002930, 63825.511719, 
135.398438, 17581.683594, 174.847000, 39.558010, -8.563334, 24169.677734, 5487.918945, 63825.425781, 
135.929688, 17569.503906, 174.758911, 39.557281, -8.563823, 24169.677734, 5487.836426, 63825.343750, 
136.453125, 17557.291016, 174.670929, 39.556549, -8.564311, 24169.677734, 5487.753906, 63825.261719, 
136.976562, 17545.017578, 174.582581, 39.555813, -8.564802, 24169.677734, 5487.668457, 63825.175781, 
